record_name,subject_id,segment_idx,fs,sqi_score,quality_grade,snr_db,perfusion_index,channel_name,global_segment_idx,batch_num,demo_id,real_subject_id,subject_id_int
p00/p000124/3644535_0097,p000124,1,125,0.9737190802241096,Excellent,36.996466311326806,1221948.8567431234,PLETH,257,3.0,124,10124,124
p00/p000124/3644535_0097,p000124,2,125,0.9546045273919546,Excellent,34.81194598765195,944304.5506307157,PLETH,258,3.0,124,10124,124
p00/p000124/3644535_0104,p000124,0,125,1.0,Excellent,44.80090962838668,1131529.8889001622,PLETH,259,3.0,124,10124,124
p00/p000124/3644535_0104,p000124,1,125,1.0,Excellent,48.89320684161242,2602584.2867643563,PLETH,260,3.0,124,10124,124
p00/p000124/3644535_0104,p000124,2,125,1.0,Excellent,49.259682332534744,1632785.099604704,PLETH,261,3.0,124,10124,124
p00/p000124/3644535_0122,p000124,0,125,0.8999999999999999,Excellent,41.096803268104736,1045356.545640957,PLETH,262,3.0,124,10124,124
p00/p000124/3644535_0122,p000124,1,125,0.8999999999999999,Excellent,43.67515209251806,1013587.3682545285,PLETH,263,3.0,124,10124,124
p00/p000124/3644535_0122,p000124,2,125,0.8808443875583505,Excellent,37.81078714952577,686426.842780213,PLETH,264,3.0,124,10124,124
p00/p000124/3644535_0119,p000124,0,125,1.0,Excellent,48.54226521504546,1476450.1312251894,PLETH,265,3.0,124,10124,124
p00/p000124/3644535_0119,p000124,1,125,1.0,Excellent,48.978605099110545,1662648.9726247753,PLETH,266,3.0,124,10124,124
p00/p000124/3644535_0119,p000124,2,125,1.0,Excellent,47.27437575171729,1218071.082268728,PLETH,267,3.0,124,10124,124
p00/p000124/3644535_0102,p000124,0,125,1.0,Excellent,42.257199842157256,1309910.401577379,PLETH,268,3.0,124,10124,124
p00/p000124/3644535_0102,p000124,1,125,1.0,Excellent,43.71888333474463,1435121.2136444491,PLETH,269,3.0,124,10124,124
p00/p000124/3644535_0102,p000124,2,125,1.0,Excellent,45.20665990247595,1777734.7526994555,PLETH,270,3.0,124,10124,124
p00/p000124/3644535_0113,p000124,0,125,1.0,Excellent,49.85951516073502,2964436.1668054424,PLETH,271,3.0,124,10124,124
p00/p000124/3644535_0113,p000124,1,125,1.0,Excellent,41.466950413425316,713488.3293931029,PLETH,272,3.0,124,10124,124
p00/p000124/3644535_0113,p000124,2,125,1.0,Excellent,45.680815892232154,1801192.434555347,PLETH,273,3.0,124,10124,124
p00/p000124/3644535_0125,p000124,0,125,0.8999999999999999,Excellent,44.64190469483129,2375409.664035415,PLETH,274,3.0,124,10124,124
p00/p000124/3644535_0125,p000124,1,125,0.8999999999999999,Excellent,45.307710217684836,1938106.0052923937,PLETH,275,3.0,124,10124,124
p00/p000124/3644535_0125,p000124,2,125,0.8999999999999999,Excellent,40.079904282461094,716622.2599958737,PLETH,276,3.0,124,10124,124
p00/p000124/3644535_0107,p000124,0,125,1.0,Excellent,48.599612496215975,987692.3681090864,PLETH,277,3.0,124,10124,124
p00/p000124/3644535_0107,p000124,1,125,1.0,Excellent,49.24563017403546,941670.4651627402,PLETH,278,3.0,124,10124,124
p00/p000124/3644535_0107,p000124,2,125,1.0,Excellent,53.99178514578225,1544809.2429744394,PLETH,279,3.0,124,10124,124
p00/p000124/3644535_0131,p000124,0,125,0.980782694534863,Excellent,37.80373651827005,1217936.5091537728,PLETH,280,3.0,124,10124,124
p00/p000124/3644535_0131,p000124,1,125,0.9780151415529197,Excellent,37.4874447489051,1187593.0208837674,PLETH,281,3.0,124,10124,124
p00/p000124/3644535_0131,p000124,2,125,0.975983303798311,Excellent,37.255234719806964,1756872.100769261,PLETH,282,3.0,124,10124,124
p00/p000124/3644535_0128,p000124,0,125,0.8999999999999999,Excellent,40.24901507773674,837013.1761123154,PLETH,283,3.0,124,10124,124
p00/p000124/3644535_0128,p000124,1,125,0.8999999999999999,Excellent,43.137911106830515,1095692.5424291377,PLETH,284,3.0,124,10124,124
p00/p000124/3644535_0128,p000124,2,125,0.8999999999999999,Excellent,40.21221764910629,1070474.0933720593,PLETH,285,3.0,124,10124,124
p00/p000124/3644535_0137,p000124,0,125,1.0,Excellent,47.70289338045339,3014135.825862709,PLETH,286,3.0,124,10124,124
p00/p000124/3644535_0137,p000124,1,125,0.9841957330787121,Excellent,38.19379806613853,662520.4344651081,PLETH,287,3.0,124,10124,124
p00/p000124/3644535_0137,p000124,2,125,0.9645350864291011,Excellent,35.946867020468716,379046.5323052608,PLETH,288,3.0,124,10124,124
p00/p000124/3644535_0134,p000124,0,125,1.0,Excellent,44.18995222575022,792627.3088040253,PLETH,289,3.0,124,10124,124
p00/p000124/3644535_0134,p000124,1,125,0.9767447730377015,Excellent,37.342259775737304,714094.4048438122,PLETH,290,3.0,124,10124,124
p00/p000124/3644535_0134,p000124,2,125,0.9630051394933745,Excellent,35.772015942099955,1059072.188643247,PLETH,291,3.0,124,10124,124
p00/p000124/3644535_0140,p000124,0,125,1.0,Excellent,48.226931560858816,1514193.9738516049,PLETH,292,3.0,124,10124,124
p00/p000124/3644535_0140,p000124,1,125,0.9738277098768746,Excellent,37.00888112878568,355711.9427684066,PLETH,293,3.0,124,10124,124
p00/p000124/3644535_0140,p000124,2,125,0.9657436795613261,Excellent,36.08499194986585,448969.80647570454,PLETH,294,3.0,124,10124,124
p00/p000124/3644535_0143,p000124,0,125,0.9708253319839162,Excellent,36.66575222673328,479783.61882201117,PLETH,295,3.0,124,10124,124
p00/p000124/3644535_0143,p000124,1,125,0.9687801904151041,Excellent,36.432021761726176,424789.72858458356,PLETH,296,3.0,124,10124,124
p00/p000124/3644535_0143,p000124,2,125,0.96234547767332,Excellent,35.696626019807994,510360.4850564002,PLETH,297,3.0,124,10124,124
p00/p000124/3644535_0146,p000124,0,125,1.0,Excellent,49.65144558179268,1997463.2475541502,PLETH,298,3.0,124,10124,124
p00/p000124/3644535_0146,p000124,1,125,1.0,Excellent,45.34494930622843,1039233.7930328086,PLETH,299,3.0,124,10124,124
p00/p000124/3644535_0146,p000124,2,125,0.8999999999999999,Excellent,42.905210549680646,810864.1398975792,PLETH,300,3.0,124,10124,124
p00/p000124/3644535_0149,p000124,0,125,0.8929045351121954,Excellent,39.18908972710804,407665.2739817206,PLETH,301,3.0,124,10124,124
p00/p000124/3644535_0149,p000124,1,125,0.8763227489490595,Excellent,37.294028451321076,288603.6094667489,PLETH,302,3.0,124,10124,124
p00/p000124/3776642_0006,p000124,0,125,0.8999999999999999,Excellent,44.382792047831416,5175187.585224602,PLETH,303,3.0,124,10124,124
p00/p000124/3644535_0164,p000124,0,125,1.0,Excellent,40.60982866459877,1253004.543214666,PLETH,304,3.0,124,10124,124
p00/p000124/3644535_0164,p000124,1,125,1.0,Excellent,42.724114508311374,1549378.8907544226,PLETH,305,3.0,124,10124,124
p00/p000124/3644535_0164,p000124,2,125,1.0,Excellent,41.04036029538655,1118152.8851351405,PLETH,306,3.0,124,10124,124
p00/p000124/3644535_0171,p000124,0,125,1.0,Excellent,49.71741119389317,1961642.3155623456,PLETH,307,3.0,124,10124,124
p00/p000124/3644535_0171,p000124,1,125,1.0,Excellent,51.87608444048805,1816800.714403221,PLETH,308,3.0,124,10124,124
p00/p000124/3644535_0171,p000124,2,125,1.0,Excellent,50.9073618854113,1566336.3935927025,PLETH,309,3.0,124,10124,124
p00/p000124/3644535_0168,p000124,0,125,1.0,Excellent,44.11399241983847,1559347.1214442449,PLETH,310,3.0,124,10124,124
p00/p000124/3644535_0168,p000124,1,125,1.0,Excellent,41.07016401994176,966985.4721539123,PLETH,311,3.0,124,10124,124
p00/p000124/3644535_0168,p000124,2,125,1.0,Excellent,40.37674894063838,1188741.0228103886,PLETH,312,3.0,124,10124,124
p00/p000124/3776642_0016,p000124,0,125,1.0,Excellent,53.05399394174022,1137544.4392891605,PLETH,313,3.0,124,10124,124
p00/p000124/3776642_0016,p000124,1,125,1.0,Excellent,51.674166635381354,1063362.0521807878,PLETH,314,3.0,124,10124,124
p00/p000124/3776642_0016,p000124,2,125,1.0,Excellent,53.366619568386184,1571431.2231027952,PLETH,315,3.0,124,10124,124
p00/p000124/3776642_0034,p000124,0,125,0.9999895129618104,Excellent,39.99880148134976,1385267.4639632741,PLETH,316,3.0,124,10124,124
p00/p000124/3776642_0034,p000124,1,125,0.999796131657462,Excellent,39.97670076085281,4484386.95573006,PLETH,317,3.0,124,10124,124
p00/p000124/3776642_0034,p000124,2,125,0.9967568884488791,Excellent,39.6293586798719,1780332.1072593518,PLETH,318,3.0,124,10124,124
p00/p000124/3776642_0020,p000124,0,125,1.0,Excellent,46.219282250076134,1775436.991051098,PLETH,319,3.0,124,10124,124
p00/p000124/3776642_0020,p000124,1,125,1.0,Excellent,48.01065817657015,1735677.1673390039,PLETH,320,3.0,124,10124,124
p00/p000124/3776642_0020,p000124,2,125,1.0,Excellent,44.21726636162063,632686.353586555,PLETH,321,3.0,124,10124,124
p00/p000124/3776642_0036,p000124,0,125,0.9909612091966535,Excellent,38.96699533676042,985269.0656877054,PLETH,322,3.0,124,10124,124
p00/p000124/3776642_0036,p000124,1,125,0.9849622120468171,Excellent,38.28139566249338,1029139.1297558277,PLETH,323,3.0,124,10124,124
p00/p000124/3776642_0036,p000124,2,125,0.9808382113368408,Excellent,37.810081295638945,1666771.66692513,PLETH,324,3.0,124,10124,124
p00/p000124/3776642_0018,p000124,0,125,1.0,Excellent,43.45879748488337,748516.998577827,PLETH,325,3.0,124,10124,124
